proxy,value,sd,x,sampleID
d18o,1.53001,NA,1,QG1-7188-1
mg_ca,0.49954,0.018803429053180304,1,QG1-7188-1
d18o,1.81001,NA,1,QG1-7189-2
mg_ca,0.45017,NA,1,QG1-7189-2
d18o,2.66001,NA,1,QG2-1061-1
mg_ca,0.35704,NA,1,QG2-1061-1
d18o,2.14001,NA,1,QG2-1064-1
mg_ca,0.53404,0.05030266795332196,1,QG2-1064-1
d18o,1.48001,NA,1,QG2-7180-1
mg_ca,0.50152,0.044819036227930126,1,QG2-7180-1
d18o,2.60001,NA,1,QG2-7180-2
mg_ca,0.46745,0.01798383574750457,1,QG2-7180-2
d18o,2.60001,NA,1,QG1-7246-1
mg_ca,0.44287,0,1,QG1-7246-1
d18o,1.93898,NA,1,ND-1016-3
mg_ca,0.08087,0.00622009765608549,1,ND-1016-3
d18o,2.21734,NA,1,ND-1016-4
mg_ca,0.12322,NA,1,ND-1016-4
d18o,2.3588,NA,1,NM-1016-1
mg_ca,0.07557,NA,1,NM-1016-1
d18o,2.3693,NA,1,NM-1016-3
mg_ca,0.11714,NA,1,NM-1016-3
d18o,2.59401,NA,1,ORK_LT5
mg_ca,0.41794,0.025912949579035723,1,ORK_LT5
d18o,1.72003,NA,2,QG1-7188-1
mg_ca,0.49286,0.023853721458792602,2,QG1-7188-1
d18o,1.92003,NA,2,QG1-7189-2
mg_ca,0.45019,NA,2,QG1-7189-2
d18o,3.74003,NA,2,QG2-1061-1
mg_ca,0.36143,NA,2,QG2-1061-1
d18o,2.11003,NA,2,QG2-1064-1
mg_ca,0.47472,0.015901390511246068,2,QG2-1064-1
d18o,3.02003,NA,2,QG2-7180-1
mg_ca,0.43166,NA,2,QG2-7180-1
d18o,2.49003,NA,2,QG2-7180-2
mg_ca,0.43486,0.014945356308587066,2,QG2-7180-2
d18o,1.97003,NA,2,QG1-7246-1
mg_ca,0.50254,0,2,QG1-7246-1
d18o,1.85087,NA,2,ND-1016-3
mg_ca,0.0961,0.008589456722840838,2,ND-1016-3
d18o,1.99076,NA,2,ND-1016-4
mg_ca,0.12324,NA,2,ND-1016-4
d18o,2.27824,NA,2,NM-1016-1
mg_ca,0.07559,NA,2,NM-1016-1
d18o,1.99731,NA,2,NM-1016-3
mg_ca,0.11148,NA,2,NM-1016-3
d18o,2.95784,NA,2,ORK_LT5
mg_ca,0.37734,0.0036361044304568453,2,ORK_LT5
d18o,2.03005,NA,3,QG1-7188-1
mg_ca,0.47649,NA,3,QG1-7188-1
d18o,1.97005,NA,3,QG1-7189-2
mg_ca,0.44926,0.022120263454333954,3,QG1-7189-2
d18o,3.63005,NA,3,QG2-1061-1
mg_ca,0.3861,0.019577299084613003,3,QG2-1061-1
d18o,2.40005,NA,3,QG2-1064-1
mg_ca,0.42696,0.010008597508148495,3,QG2-1064-1
d18o,2.98005,NA,3,QG2-7180-1
mg_ca,0.43168,NA,3,QG2-7180-1
d18o,2.74005,NA,3,QG2-7180-2
mg_ca,0.40628,0.0019689053396860718,3,QG2-7180-2
d18o,1.76005,NA,3,QG1-7246-1
mg_ca,0.5402,0.015026738293212083,3,QG1-7246-1
d18o,1.37827,NA,3,ND-1016-3
mg_ca,0.11135,0.004530534575599262,3,ND-1016-3
d18o,1.65318,NA,3,ND-1016-4
mg_ca,0.1252,0.009029618197675483,3,ND-1016-4
d18o,2.19655,NA,3,NM-1016-1
mg_ca,0.08035,0.003213212894442825,3,NM-1016-1
d18o,2.15407,NA,3,NM-1016-3
mg_ca,0.1115,NA,3,NM-1016-3
d18o,3.09866,NA,3,ORK_LT5
mg_ca,0.37444,NA,3,ORK_LT5
d18o,2.56007,NA,4,QG1-7188-1
mg_ca,0.42562,0.02027425728884102,4,QG1-7188-1
d18o,2.23007,NA,4,QG1-7189-2
mg_ca,0.42773,0.015166362283092549,4,QG1-7189-2
d18o,2.80007,NA,4,QG2-1061-1
mg_ca,0.39873,0.0033219910951782492,4,QG2-1061-1
d18o,2.21007,NA,4,QG2-1064-1
mg_ca,0.46807,0.02373332157529958,4,QG2-1064-1
d18o,2.22007,NA,4,QG2-7180-1
mg_ca,0.43331,0.008686490691844378,4,QG2-7180-1
d18o,2.65007,NA,4,QG2-7180-2
mg_ca,0.4119,NA,4,QG2-7180-2
d18o,2.16007,NA,4,QG1-7246-1
mg_ca,0.50177,0,4,QG1-7246-1
d18o,1.09262,NA,4,ND-1016-3
mg_ca,0.11981,NA,4,ND-1016-3
d18o,1.01271,NA,4,ND-1016-4
mg_ca,0.15031,0.01100850577132569,4,ND-1016-4
d18o,1.68395,NA,4,NM-1016-1
mg_ca,0.09838,0.007635477389967235,4,NM-1016-1
d18o,2.0617,NA,4,NM-1016-3
mg_ca,0.11152,NA,4,NM-1016-3
d18o,2.91716,NA,4,ORK_LT5
mg_ca,0.39042,0.014688376534353354,4,ORK_LT5
d18o,2.52009,NA,5,QG1-7188-1
mg_ca,0.43363,0.011899163893005034,5,QG1-7188-1
d18o,2.22009,NA,5,QG1-7189-2
mg_ca,0.43913,NA,5,QG1-7189-2
d18o,2.21009,NA,5,QG2-1061-1
mg_ca,0.45983,0.02427085389440798,5,QG2-1061-1
d18o,2.32009,NA,5,QG2-1064-1
mg_ca,0.45835,NA,5,QG2-1064-1
d18o,2.24009,NA,5,QG2-7180-1
mg_ca,0.44139,0.0162423032095909,5,QG2-7180-1
d18o,2.53009,NA,5,QG2-7180-2
mg_ca,0.41192,NA,5,QG2-7180-2
d18o,3.10009,NA,5,QG1-7246-1
mg_ca,0.42879,0.009932846451779295,5,QG1-7246-1
d18o,1.10534,NA,5,ND-1016-3
mg_ca,0.11983,NA,5,ND-1016-3
d18o,0.97853,NA,5,ND-1016-4
mg_ca,0.24219,0.08120633193693724,5,ND-1016-4
d18o,1.01623,NA,5,NM-1016-1
mg_ca,0.11561,NA,5,NM-1016-1
d18o,1.92784,NA,5,NM-1016-3
mg_ca,0.11154,NA,5,NM-1016-3
d18o,2.53932,NA,5,ORK_LT5
mg_ca,0.42196,0.0026242658498719955,5,ORK_LT5
d18o,2.40011,NA,6,QG1-7188-1
mg_ca,0.43978,NA,6,QG1-7188-1
d18o,2.14011,NA,6,QG1-7189-2
mg_ca,0.43915,NA,6,QG1-7189-2
d18o,2.18011,NA,6,QG2-1061-1
mg_ca,0.45827,NA,6,QG2-1061-1
d18o,2.44011,NA,6,QG2-1064-1
mg_ca,0.44681,0.031961946624026516,6,QG2-1064-1
d18o,1.67011,NA,6,QG2-7180-1
mg_ca,0.47883,0.011840647134763049,6,QG2-7180-1
d18o,2.55011,NA,6,QG2-7180-2
mg_ca,0.41194,NA,6,QG2-7180-2
d18o,3.35011,NA,6,QG1-7246-1
mg_ca,0.40679,0.0027027741398037487,6,QG1-7246-1
d18o,1.08308,NA,6,ND-1016-3
mg_ca,0.13178,0.011149437076188328,6,ND-1016-3
d18o,1.5175399999999999,NA,6,ND-1016-4
mg_ca,0.12199,0.006512935129430445,6,ND-1016-4
d18o,1.17931,NA,6,NM-1016-1
mg_ca,0.11563,NA,6,NM-1016-1
d18o,1.76779,NA,6,NM-1016-3
mg_ca,0.11407,0.004259322240445926,6,NM-1016-3
d18o,2.28786,NA,6,ORK_LT5
mg_ca,0.43389,0.022173138604690317,6,ORK_LT5
d18o,2.33013,NA,7,QG1-7188-1
mg_ca,0.4398,NA,7,QG1-7188-1
d18o,2.18013,NA,7,QG1-7189-2
mg_ca,0.43903,0.005770999836574351,7,QG1-7189-2
d18o,2.14013,NA,7,QG2-1061-1
mg_ca,0.45829,NA,7,QG2-1061-1
d18o,2.85013,NA,7,QG2-1064-1
mg_ca,0.41299,0.0020021473981574256,7,QG2-1064-1
d18o,1.74013,NA,7,QG2-7180-1
mg_ca,0.48826,NA,7,QG2-7180-1
d18o,2.32013,NA,7,QG2-7180-2
mg_ca,0.45865,0.05183760287062037,7,QG2-7180-2
d18o,3.33013,NA,7,QG1-7246-1
mg_ca,0.42129,0,7,QG1-7246-1
d18o,1.43312,NA,7,ND-1016-3
mg_ca,0.10802,0.004999771097238324,7,ND-1016-3
d18o,2.2281,NA,7,ND-1016-4
mg_ca,0.11031,NA,7,ND-1016-4
d18o,1.06211,NA,7,NM-1016-1
mg_ca,0.11565,NA,7,NM-1016-1
d18o,1.62552,NA,7,NM-1016-3
mg_ca,0.14532,0.008675537198608712,7,NM-1016-3
d18o,1.86648,NA,7,ORK_LT5
mg_ca,0.45796,NA,7,ORK_LT5
d18o,2.93015,NA,8,QG1-7188-1
mg_ca,0.39424,0.09542622615308521,8,QG1-7188-1
d18o,2.66015,NA,8,QG1-7189-2
mg_ca,0.39739,0.019216345460202542,8,QG1-7189-2
d18o,2.07015,NA,8,QG2-1061-1
mg_ca,0.43527,0.015884057045027072,8,QG2-1061-1
d18o,2.78015,NA,8,QG2-1064-1
mg_ca,0.42064,0.013640114883647369,8,QG2-1064-1
d18o,1.46015,NA,8,QG2-7180-1
mg_ca,0.50682,0.011490347870935159,8,QG2-7180-1
d18o,2.97015,NA,8,QG2-7180-2
mg_ca,0.40449,0.01142891595374077,8,QG2-7180-2
d18o,2.62015,NA,8,QG1-7246-1
mg_ca,0.48877,0,8,QG1-7246-1
d18o,1.79825,NA,8,ND-1016-3
mg_ca,0.09781,0.008444277848949867,8,ND-1016-3
d18o,1.76036,NA,8,ND-1016-4
mg_ca,0.10681,0.0027227644778211116,8,ND-1016-4
d18o,0.95365,NA,8,NM-1016-1
mg_ca,0.14354,0.015189881985835697,8,NM-1016-1
d18o,1.38878,NA,8,NM-1016-3
mg_ca,0.16935,0.007550547261388646,8,NM-1016-3
d18o,1.97428,NA,8,ORK_LT5
mg_ca,0.46116,0.002336379014838135,8,ORK_LT5
d18o,2.29017,NA,9,QG1-7188-1
mg_ca,0.44044,0.027563086245176588,9,QG1-7188-1
d18o,3.26017,NA,9,QG1-7189-2
mg_ca,0.35734,0.013920738226761516,9,QG1-7189-2
d18o,1.88017,NA,9,QG2-1061-1
mg_ca,0.4904,0.010671823777638836,9,QG2-1061-1
d18o,2.27017,NA,9,QG2-1064-1
mg_ca,0.44313,0.011400148754159055,9,QG2-1064-1
d18o,1.82017,NA,9,QG2-7180-1
mg_ca,0.4811,NA,9,QG2-7180-1
d18o,3.27017,NA,9,QG2-7180-2
mg_ca,0.37559,0.021870221571335276,9,QG2-7180-2
d18o,2.08017,NA,9,QG1-7246-1
mg_ca,0.51945,0.01626089651446657,9,QG1-7246-1
d18o,2.11218,NA,9,ND-1016-3
mg_ca,0.082170000000000007,0.00413684346320185,9,ND-1016-3
d18o,2.0205,NA,9,ND-1016-4
mg_ca,0.10338,NA,9,ND-1016-4
d18o,1.14725,NA,9,NM-1016-1
mg_ca,0.12032,NA,9,NM-1016-1
d18o,1.41211,NA,9,NM-1016-3
mg_ca,0.17471,NA,9,NM-1016-3
d18o,2.10193,NA,9,ORK_LT5
mg_ca,0.46083,0.02353853163992513,9,ORK_LT5
d18o,1.94019,NA,10,QG1-7188-1
mg_ca,0.49171,0.011273863522705223,10,QG1-7188-1
d18o,3.14019,NA,10,QG1-7189-2
mg_ca,0.37944,0.00889779044148339,10,QG1-7189-2
d18o,2.39019,NA,10,QG2-1061-1
mg_ca,0.44833,0.013851486175380633,10,QG2-1061-1
d18o,2.05019,NA,10,QG2-1064-1
mg_ca,0.46544,0.00565992256453954,10,QG2-1064-1
d18o,1.84019,NA,10,QG2-7180-1
mg_ca,0.46696,NA,10,QG2-7180-1
d18o,3.62019,NA,10,QG2-7180-2
mg_ca,0.35564,NA,10,QG2-7180-2
d18o,2.39019,NA,10,QG1-7246-1
mg_ca,0.50107,0,10,QG1-7246-1
d18o,2.41697,NA,10,ND-1016-3
mg_ca,0.07213,0.0034558080805555764,10,ND-1016-3
d18o,1.92734,NA,10,ND-1016-4
mg_ca,0.1034,NA,10,ND-1016-4
d18o,1.35785,NA,10,NM-1016-1
mg_ca,0.11212,0.00869009863610161,10,NM-1016-1
d18o,1.3044,NA,10,NM-1016-3
mg_ca,0.18389,0.00426817163507141,10,NM-1016-3
d18o,2.34725,NA,10,ORK_LT5
mg_ca,0.42401,0.008843146125390371,10,ORK_LT5
d18o,2.23021,NA,11,QG1-7188-1
mg_ca,0.42619,0.030245130933574133,11,QG1-7188-1
d18o,2.66021,NA,11,QG1-7189-2
mg_ca,0.41016,0.009465090843134169,11,QG1-7189-2
d18o,1.97021,NA,11,QG2-1061-1
mg_ca,0.47277,NA,11,QG2-1061-1
d18o,2.04021,NA,11,QG2-1064-1
mg_ca,0.4728,0.01840771177418518,11,QG2-1064-1
d18o,1.78021,NA,11,QG2-7180-1
mg_ca,0.46698,NA,11,QG2-7180-1
d18o,3.58021,NA,11,QG2-7180-2
mg_ca,0.35084,0.0035863953734538608,11,QG2-7180-2
d18o,2.66021,NA,11,QG1-7246-1
mg_ca,0.47768,0,11,QG1-7246-1
d18o,2.69712,NA,11,ND-1016-3
mg_ca,0.06606,NA,11,ND-1016-3
d18o,2.0622,NA,11,ND-1016-4
mg_ca,0.10342,NA,11,ND-1016-4
d18o,1.59181,NA,11,NM-1016-1
mg_ca,0.104,NA,11,NM-1016-1
d18o,1.23513,NA,11,NM-1016-3
mg_ca,0.19299,0.002120250902171944,11,NM-1016-3
d18o,2.81123,NA,11,ORK_LT5
mg_ca,0.39612000000000003,0.006026007237134388,11,ORK_LT5
d18o,2.24023,NA,12,QG1-7188-1
mg_ca,0.45749,NA,12,QG1-7188-1
d18o,2.10023,NA,12,QG1-7189-2
mg_ca,0.44008,0.01502289133944357,12,QG1-7189-2
d18o,2.05023,NA,12,QG2-1061-1
mg_ca,0.47279,NA,12,QG2-1061-1
d18o,1.95023,NA,12,QG2-1064-1
mg_ca,0.49019,0.03312765663245741,12,QG2-1064-1
d18o,1.97023,NA,12,QG2-7180-1
mg_ca,0.467,NA,12,QG2-7180-1
d18o,3.86023,NA,12,QG2-7180-2
mg_ca,0.33533,0.007759950406415288,12,QG2-7180-2
d18o,3.49023,NA,12,QG1-7246-1
mg_ca,0.42111,0.016508357177411014,12,QG1-7246-1
d18o,2.65371,NA,12,ND-1016-3
mg_ca,0.06522,0.0020922730597770973,12,ND-1016-3
d18o,1.76601,NA,12,ND-1016-4
mg_ca,0.10514,0.0024079282972796654,12,ND-1016-4
d18o,1.72969,NA,12,NM-1016-1
mg_ca,0.09259,0.011590576945632557,12,NM-1016-1
d18o,1.18677,NA,12,NM-1016-3
mg_ca,0.20551,NA,12,NM-1016-3
d18o,2.90649,NA,12,ORK_LT5
mg_ca,0.38124,0.00451659681915962,12,ORK_LT5
d18o,2.06025,NA,13,QG1-7188-1
mg_ca,0.48109,0.007914383509564643,13,QG1-7188-1
d18o,1.81025,NA,13,QG1-7189-2
mg_ca,0.46806,NA,13,QG1-7189-2
d18o,2.00025,NA,13,QG2-1061-1
mg_ca,0.47281,NA,13,QG2-1061-1
d18o,2.14025,NA,13,QG2-1064-1
mg_ca,0.45982,0.019931234013461453,13,QG2-1064-1
d18o,1.97025,NA,13,QG2-7180-1
mg_ca,0.46702,NA,13,QG2-7180-1
d18o,3.34025,NA,13,QG2-7180-2
mg_ca,0.36378,0.0028221253955629634,13,QG2-7180-2
d18o,3.64025,NA,13,QG1-7246-1
mg_ca,0.44368,NA,13,QG1-7246-1
d18o,2.69945,NA,13,ND-1016-3
mg_ca,0.06392,0.0033950801252948877,13,ND-1016-3
d18o,1.63433,NA,13,ND-1016-4
mg_ca,0.11032,0.006775441998741331,13,ND-1016-4
d18o,2.33222,NA,13,NM-1016-1
mg_ca,0.07246,0.0031589474783804846,13,NM-1016-1
d18o,1.10944,NA,13,NM-1016-3
mg_ca,0.24832,0.03143859990173638,13,NM-1016-3
d18o,2.73324,NA,13,ORK_LT5
mg_ca,0.40305,0.015518516758905629,13,ORK_LT5
d18o,2.18027,NA,14,QG1-7188-1
mg_ca,0.45442,NA,14,QG1-7188-1
d18o,1.77027,NA,14,QG1-7189-2
mg_ca,0.47206,0.005629670579860594,14,QG1-7189-2
d18o,2.01027,NA,14,QG2-1061-1
mg_ca,0.48604,0.01538185756827625,14,QG2-1061-1
d18o,2.84027,NA,14,QG2-1064-1
mg_ca,0.42802,0.013038737037731698,14,QG2-1064-1
d18o,1.90027,NA,14,QG2-7180-1
mg_ca,0.46704,NA,14,QG2-7180-1
d18o,3.33027,NA,14,QG2-7180-2
mg_ca,0.38432,0.011829822340485177,14,QG2-7180-2
d18o,2.35027,NA,14,QG1-7246-1
mg_ca,0.47078,0,14,QG1-7246-1
d18o,2.35264,NA,14,ND-1016-3
mg_ca,0.075,0.003175176589638106,14,ND-1016-3
d18o,1.39157,NA,14,ND-1016-4
mg_ca,0.12757,0.00687494562616439,14,ND-1016-4
d18o,2.27905,NA,14,NM-1016-1
mg_ca,0.07542,0.0037188508423706746,14,NM-1016-1
d18o,1.16252,NA,14,NM-1016-3
mg_ca,0.20548,NA,14,NM-1016-3
d18o,3.12879,NA,14,ORK_LT5
mg_ca,0.37682,0.015055595439524505,14,ORK_LT5
d18o,2.25029,NA,15,QG1-7188-1
mg_ca,0.45444,NA,15,QG1-7188-1
d18o,1.84029,NA,15,QG1-7189-2
mg_ca,0.46477,0.013296955279159329,15,QG1-7189-2
d18o,2.35029,NA,15,QG2-1061-1
mg_ca,0.44107,0.014335846748602459,15,QG2-1061-1
d18o,2.26029,NA,15,QG2-1064-1
mg_ca,0.45127,0.008301837840304877,15,QG2-1064-1
d18o,1.92029,NA,15,QG2-7180-1
mg_ca,0.46706,NA,15,QG2-7180-1
d18o,3.52029,NA,15,QG2-7180-2
mg_ca,0.35811,NA,15,QG2-7180-2
d18o,2.34029,NA,15,QG1-7246-1
mg_ca,0.51937,0.03136544791700422,15,QG1-7246-1
d18o,2.01483,NA,15,ND-1016-3
mg_ca,0.0824,0.001977036942221047,15,ND-1016-3
d18o,1.33195,NA,15,ND-1016-4
mg_ca,0.13988,NA,15,ND-1016-4
d18o,2.41436,NA,15,NM-1016-1
mg_ca,0.06908,0.0011692982995956571,15,NM-1016-1
d18o,1.13931,NA,15,NM-1016-3
mg_ca,0.2055,NA,15,NM-1016-3
d18o,2.43528,NA,15,ORK_LT5
mg_ca,0.41079,0.011396198537780441,15,ORK_LT5
d18o,2.25031,NA,16,QG1-7188-1
mg_ca,0.44293,0.016297682750063207,16,QG1-7188-1
d18o,2.39031,NA,16,QG1-7189-2
mg_ca,0.42478,0.013821878950270953,16,QG1-7189-2
d18o,2.14031,NA,16,QG2-1061-1
mg_ca,0.46162,0.008580262998290919,16,QG2-1061-1
d18o,2.07031,NA,16,QG2-1064-1
mg_ca,0.45791,NA,16,QG2-1064-1
d18o,1.89031,NA,16,QG2-7180-1
mg_ca,0.46708,NA,16,QG2-7180-1
d18o,3.61031,NA,16,QG2-7180-2
mg_ca,0.34522,0.010472959546207278,16,QG2-7180-2
d18o,3.13031,NA,16,QG1-7246-1
mg_ca,0.42122,0,16,QG1-7246-1
d18o,2.01732,NA,16,ND-1016-3
mg_ca,0.0876,0.0012218652064984394,16,ND-1016-3
d18o,1.18738,NA,16,ND-1016-4
mg_ca,0.15272,0.008101223086516469,16,ND-1016-4
d18o,2.35471,NA,16,NM-1016-1
mg_ca,0.07032,0.0011783931017534251,16,NM-1016-1
d18o,1.14952,NA,16,NM-1016-3
mg_ca,0.19922,0.00891219674166063,16,NM-1016-3
d18o,2.91684,NA,16,ORK_LT5
mg_ca,0.42519,NA,16,ORK_LT5
d18o,2.76033,NA,17,QG1-7188-1
mg_ca,0.42892,0.03378389746228943,17,QG1-7188-1
d18o,2.20033,NA,17,QG1-7189-2
mg_ca,0.46946,0.0190133976663452,17,QG1-7189-2
d18o,2.55033,NA,17,QG2-1061-1
mg_ca,0.44209,0.012326198081165142,17,QG2-1061-1
d18o,1.82033,NA,17,QG2-1064-1
mg_ca,0.49864000000000003,0.004010350971101265,17,QG2-1064-1
d18o,2.00033,NA,17,QG2-7180-1
mg_ca,0.4671,NA,17,QG2-7180-1
d18o,4.04033,NA,17,QG2-7180-2
mg_ca,0.36101,NA,17,QG2-7180-2
d18o,3.40033,NA,17,QG1-7246-1
mg_ca,0.40726,0.0028519448341664325,17,QG1-7246-1
d18o,1.85184,NA,17,ND-1016-3
mg_ca,0.09325,0.0028453694582848744,17,ND-1016-3
d18o,0.83986,NA,17,ND-1016-4
mg_ca,0.18284,0.010527596887442871,17,ND-1016-4
d18o,2.61212,NA,17,NM-1016-1
mg_ca,0.06858,NA,17,NM-1016-1
d18o,1.31507,NA,17,NM-1016-3
mg_ca,0.19103,0.03175374976081332,17,NM-1016-3
d18o,2.07068,NA,17,ORK_LT5
mg_ca,0.45557,0.02797779048780391,17,ORK_LT5
d18o,3.35035,NA,18,QG1-7188-1
mg_ca,0.3669,0.010332051743286176,18,QG1-7188-1
d18o,2.36035,NA,18,QG1-7189-2
mg_ca,0.43293,0.01320654471029021,18,QG1-7189-2
d18o,2.64035,NA,18,QG2-1061-1
mg_ca,0.44197,NA,18,QG2-1061-1
d18o,1.90035,NA,18,QG2-1064-1
mg_ca,0.47129,0.007340790834273478,18,QG2-1064-1
d18o,2.16035,NA,18,QG2-7180-1
mg_ca,0.43466,0.011320173348164052,18,QG2-7180-1
d18o,4.18035,NA,18,QG2-7180-2
mg_ca,0.36103,NA,18,QG2-7180-2
d18o,3.26035,NA,18,QG1-7246-1
